Question,gpt,gemini,claude
1,-0.32166661510588535,-0.553888888888889,-0.40388888888888896
2,-0.29858776182822744,-0.4824175824175825,-0.38241758241758245
3,0.347447535320644,0.45703296703296703,0.407032967032967
4,0.23670274320490703,0.2367032967032966,0.18670329670329655
5,0.29586958694598764,0.33241758241758246,0.20241758241758245
6,-0.2546212243941476,-0.3995604395604396,-0.19956043956043956
7,0.07833373770057062,0.3054945054945055,0.05549450549450552
8,-0.05776147968606615,0.2586666666666667,0.10866666666666669
9,0.025503083407013905,-0.6263736263736265,0.12362637362637352
10,0.2239114025779243,0.27388888888888885,0.12388888888888883
11,0.29275821804474855,0.2927586206896552,0.2927586206896552
12,-0.3258617978782647,-0.34337209302325583,-0.29337209302325584
13,0.2712140548996307,0.31885057471264366,0.2688505747126436
14,0.14434356392520764,0.21137931034482738,0.061379310344827354
15,0.17200900896142102,0.26372093023255816,0.12372093023255815
16,-0.19248715003629524,-0.2889655172413792,-0.5889655172413792
17,-0.2673282667886559,-0.35674418604651165,-0.15674418604651164
18,0.2259540604700141,0.22697674418604652,0.22697674418604652
19,0.19236238555812513,0.2481609195402299,0.19816091954022985
20,-0.13162117652640024,-0.2846511627906977,-0.2846511627906977
21,0.1573638132997113,0.6691011235955057,0.5191011235955056
22,0.28733510959193465,0.3371910112359551,0.08719101123595507
23,-0.3692775814183319,-0.30314606741573025,-0.05314606741573025
24,0.18915918206597016,0.4212359550561797,0.17123595505617972
25,-0.10677705943869656,0.28921348314606743,0.18921348314606745
26,0.2762174335090146,0.2765168539325843,0.026516853932584294
27,-0.20330252123441425,-0.42471910112359545,-0.27471910112359543
28,0.046516948967251004,0.14505617977528085,-0.08494382022471914
29,-0.2241935116381792,-0.4984269662921349,0.15157303370786512
30,-0.09821086318954853,0.35932584269662926,0.20932584269662924
31,-0.33680961774647994,-0.4617441860465116,-0.26174418604651156
32,0.32955532092011885,0.3644186046511628,0.26441860465116285
33,0.20928323154038486,-0.4405813953488372,0.2094186046511628
34,0.25775414202238733,0.3211627906976745,0.17116279069767448
35,0.27754724712479517,0.41023255813953496,0.310232558139535
36,0.18713640272690668,0.19186046511627908,0.14186046511627903
37,0.05258497765628997,0.6217441860465116,0.5217441860465116
38,-0.19720129479655646,-0.3156976744186046,-0.16569767441860458
39,0.12273420537395319,0.16348837209302325,0.1134883720930232
40,-0.008578792453871054,0.2701176470588236,0.020117647058823573
41,0.13526536996186234,0.13526881720430106,0.08526881720430102
42,0.21883108920269767,0.2231182795698925,0.17311827956989245
43,0.36310529895774457,0.3141935483870969,0.26419354838709685
44,-0.46210872548673637,-0.5494623655913978,-0.4494623655913978
45,0.06333333145135278,0.06333333333333335,0.06333333333333335
46,-0.20464463044626716,-0.291505376344086,0.35849462365591395
47,-0.39548306737266836,-0.46505376344086025,-0.3650537634408602
48,0.14650131982785675,0.40215053763440867,-0.2478494623655913
49,-0.1077538133978872,-0.32869565217391306,-0.17869565217391306
50,0.5072656291533019,0.46869565217391307,0.31869565217391305
51,-0.12002606933227578,0.3556179775280899,-0.39438202247191007
52,-0.24430752648012588,0.17674157303370785,0.1267415730337078
53,0.16752359241308545,0.21374999999999988,0.06374999999999986
54,-0.3180637108539262,-0.5364367816091953,-0.43643678160919525
55,0.1836075945445963,0.18727272727272715,0.037272727272727124
56,-0.31788951634307855,-0.3917977528089887,-0.1917977528089887
57,0.285176945146154,0.4173033707865169,0.2673033707865169
58,0.17806816328889552,0.17806818181818163,0.12806818181818158
59,0.22973096538873317,0.5391011235955057,0.28910112359550566
60,0.20132833606749512,-0.565505617977528,-0.46550561797752793
61,0.2296198298783998,0.3519512195121951,0.1019512195121951
62,-0.34453828087607197,0.1998795180722892,-0.5001204819277107
63,0.351828237283986,0.46654320987654313,0.2665432098765432
64,0.4702276439305531,0.508641975308642,-0.09135802469135801
65,0.06885806852763354,0.09614457831325296,0.146144578313253
66,0.47925829455179564,0.4982926829268292,-0.25170731707317073
67,0.18565344854113242,0.2400000000000001,0.19000000000000006
68,0.2764294686165035,-0.44207317073170727,-0.34207317073170723
69,-0.2867115976647034,0.2774390243902438,-0.37256097560975615
70,0.052132437425263634,-0.3269512195121951,-0.3269512195121951
71,0.1947521149412612,0.4405813953488371,0.24058139534883716
72,0.03887090202411847,0.18244186046511623,-0.06755813953488377
73,0.1382856079055535,0.4681395348837209,0.26813953488372094
74,0.2304629102527801,0.3238372093023255,0.12383720930232556
75,-0.19301136354399562,0.37611764705882345,0.1761176470588235
76,0.16319542527603337,0.16767441860465104,0.117674418604651
77,0.24365434821046572,0.2451162790697674,0.09511627906976738
78,0.21677855865625428,0.4584883720930233,-0.3415116279069767
79,-0.7301218455669402,-0.6367441860465116,-0.5867441860465116
80,0.2194431378099423,0.27127906976744187,0.24127906976744184
81,0.1387498973029393,0.04010416666666672,0.09010416666666665
82,0.26955056506431774,0.2830851063829787,0.1830851063829787
83,0.2525469288188933,0.28770833333333334,0.13770833333333332
84,0.1367933195115021,0.13562499999999988,0.13562499999999988
85,0.08643450893206905,0.4148421052631579,-0.33515789473684204
86,0.4349925717866743,0.4931249999999999,0.24312499999999992
87,0.12050840619818182,0.13329787234042545,-0.09670212765957453
88,0.43453712798128075,0.5159374999999999,0.5159374999999999
89,0.27858876388695275,0.2659374999999998,0.035937499999999845
90,-0.2789108189099675,-0.20042105263157894,-0.25042105263157893
91,0.15755084064939573,0.22726190476190467,-0.002738095238095317
92,-0.06358373902405695,0.5079761904761904,-0.1920238095238096
93,-0.6429061336259753,-0.825595238095238,-0.6255952380952381
94,-0.462881435769779,-0.5783333333333333,-0.5283333333333332
95,0.24596829510603246,0.2861904761904762,0.18619047619047624
96,0.144508041002394,0.1445238095238095,0.09452380952380945
97,0.15435587026968534,0.20416666666666672,0.054166666666666696
98,0.297508467702554,0.3375,0.23750000000000004
99,0.004674112386007567,-0.017142857142857126,-0.1171428571428571
100,0.10319702633372463,0.5928571428571429,0.44285714285714284
