row_index,response_text,topk_valid_confidence_mass,error_bound,weighted_confidence,top_values
5,10,0.999997251301078,0.00027486989220282254,15.027606387082791,10 20 15 25 30 5 12 18 35 23 17 22 13 14 8 40 7 24 21 0
0,30,0.9999873754257925,0.001262457420747598,32.703528541675084,30 40 35 20 25 45 60 15 50 65 55 10 70 42 32 37 27 23 38 22
4,10,0.9999930146855858,0.000698531441423178,12.4607165302448,10 20 15 5 30 25 0 35 40 12 8 18 7 17 13 23 22 14 3 2
6,10,0.9999999931765648,6.823435150238311e-07,9.734764074807984,10 5 15 20 0 25 30 2 3 12 8 7 5 18 13 17 14 6 1 4
1,10,0.9999998751691148,1.2483088518422392e-05,10.32783393726287,10 20 15 5 0 25 30 12 8 5 7 18 13 17 2 3 14 35 23 22
2,10,0.9999997965141171,2.034858829214059e-05,10.218044059727132,10 20 5 15 0 25 12 30 8 7 3 2 18 13 17 14 23 22 4 6
3,30,0.999982960674223,0.0017039325777012948,31.176485189164765,30 40 20 25 35 60 70 10 15 50 80 45 65 75 0 55 85 90 5 100
7,20,0.99999978562597,2.1437402997204202e-05,25.08369964229964,20 30 40 10 25 15 35 50 45 60 5 70 0 55 65 12 22 32 23 80
10,30,0.9999998641388909,1.3586110914065586e-05,26.960966890149273,30 20 40 25 10 35 15 60 50 45 70 65 5 55 0 32 23 27 80 42
9,40,0.9999962754045877,0.0003724595412313292,36.03477063505527,40 30 60 20 50 35 25 70 45 65 10 55 15 75 80 42 0 37 32 27
14,40,0.9999988879863745,0.00011120136255149404,35.107103890867165,40 30 35 20 25 50 45 60 15 55 10 65 42 32 37 70 38 27 43 34
8,20,0.9999674175387895,0.0032582461210517444,37.86435771010514,20 90 15 30 85 25 80 10 95 35 40 75 70 92 60 65 45 100 5 12
15,60,0.9999905574991962,0.0009442500803813481,52.83919960862222,60 40 65 70 30 50 35 45 55 75 20 25 80 15 42 62 72 85 67 68
12,30,0.9999949642238498,0.0005035776150186244,33.198846322628675,30 40 35 20 25 45 50 15 60 32 10 42 37 55 38 27 34 23 33 28
11,40,0.9999160973318146,0.008390266818536496,35.96452247536072,40 30 35 45 25 20 50 60 42 37 55 38 32 27 65 34 43 15 47 33
18,40,0.9999959343486896,0.0004065651310392049,37.69261698774586,40 30 50 35 20 25 45 60 55 65 15 10 70 42 37 38 32 33 43 34
17,30,0.9999999232478546,7.675214541702502e-06,34.49688236657487,30 40 50 20 35 25 45 60 15 10 55 0 65 42 70 37 32 38 27 33
13,50,0.999999689555392,3.104446080204326e-05,39.55239031891704,50 30 40 20 35 25 45 15 10 0 60 55 5 42 37 38 32 33 23 65
19,50,0.9999159869390041,0.008401306099592443,51.28506210643016,50 60 40 70 30 0 65 80 35 20 45 75 25 55 85 15 10
16,30,0.9999995162273909,4.8377260908338826e-05,32.23066324979214,30 40 20 35 25 50 45 15 10 60 55 65 42 32 37 0 70 27 23 38
21,20,0.99999932827144,6.71728559997753e-05,23.121760513580952,20 30 10 25 40 15 35 0 45 50 5 60 70 23 27 22 18 32 80 12
20,10,0.9999999021484518,9.785154819752506e-06,9.910419475500715,10 5 15 20 0 12 8 7 3 2 25 13 18 30 17 14 6 9 4 11
22,10,0.9999992836789013,7.163210986593782e-05,9.19891518141277,10 5 0 15 20 2 3 12 8 25 7 30 4 13 18 6 1 14 17 9
23,20,0.9999941216724613,0.0005878327538733075,16.873066450336534,20 10 15 30 25 5 40 35 12 0 18 17 23 22 13 14 8 24 7 27
25,5,1.0000000522210823,0.0,6.937227091653961,5 10 0 2 15 3 20 8 7 1 4 12 6 9 5 13 25 11 14 18
26,10,0.9999996977357213,3.022642787176011e-05,13.64499188925823,10 20 15 25 5 30 12 35 18 40 8 0 7 17 13 14 22 5 90 23
24,10,0.9999995139179713,4.8608202873889894e-05,11.960103648840002,10 20 15 5 25 30 12 18 0 8 35 17 13 7 23 14 22 3 40 16
30,20,0.9999976713812053,0.000232861879467805,18.968073488838844,20 10 30 15 25 40 35 5 0 50 45 60 12 18 23 22 70 17 27 32
28,5,0.999999918955768,8.104423199206678e-06,5.441619857627076,5 10 0 2 3 15 20 1 8 7 12 4 6 9 25 13 5 14 18 30
27,10,0.9999999434389623,5.65610377423198e-06,10.053823726995438,10 5 15 20 12 0 25 8 7 3 30 13 2 18 14 17 9 5 6 11
31,10,0.9999997865943376,2.1340566236371927e-05,11.514761959740618,10 20 15 5 0 25 30 12 35 40 18 2 8 3 13 17 7 23 22 14
34,30,0.9999928076123391,0.0007192387660892585,35.10810422553375,30 40 35 25 20 60 45 50 65 55 70 15 10 75 42 32 37 38 80 27
29,10,0.9999995477235609,4.522764390779699e-05,12.03653741494901,10 20 15 5 30 25 0 35 12 40 8 18 2 3 7 17 13 5 22 14
33,0,0.9999999923050616,7.694938353175473e-07,2.141457131473324,0 5 10 2 3 15 1 8 20 7 4 12 6 9 5 13 25 11 14 18
35,20,0.999997626099222,0.0002373900777952187,17.82189764269375,20 10 30 15 25 5 40 35 0 12 23 18 17 22 45 27 50 14 24 13
32,10,0.9999998756569065,1.2434309348829942e-05,13.911872562721284,10 20 15 30 25 5 35 12 0 40 18 23 17 22 13 8 14 5 7 24
37,10,0.9999994746257654,5.253742345612267e-05,10.861001443681811,10 15 20 5 25 30 12 8 18 7 0 13 17 3 14 2 22 23 5 16
39,0,1.0000001032812715,0.0,0.715510906949354,0 5 10 2 3 1 15 7 8 4 20 12 6 9 5 13 11 14 18 17
40,20,0.9999998097914518,1.9020854824525202e-05,19.397854853346477,20 10 30 15 25 40 35 5 0 23 12 22 45 18 27 17 24 32 28 13
